id,date,title,authors,link_abstract,link_pdf
1608.03608v2,2019-04-16 16:51:31,"Aristotle vs. Ringelmann: On Superlinear Production in Open Source
  Software",Thomas Maillart|Didier Sornette,http://arxiv.org/abs/1608.03608v2,http://arxiv.org/pdf/1608.03608v2
1705.04814v2,2018-01-16 21:49:35,Networks of open systems,Eugene Lerman,http://arxiv.org/abs/1705.04814v2,http://arxiv.org/pdf/1705.04814v2
1707.02264v3,2018-01-24 23:27:51,Journal of Open Source Software (JOSS): design and first-year review,Arfon M Smith|Kyle E Niemeyer|Daniel S Katz|Lorena A Barba|George Githinji|Melissa Gymrek|Kathryn D Huff|Christopher R Madan|Abigail Cabunoc Mayes|Kevin M Moerman|Pjotr Prins|Karthik Ram|Ariel Rokem|Tracy K Teal|Roman Valls Guimera|Jacob T Vanderplas,http://arxiv.org/abs/1707.02264v3,http://arxiv.org/pdf/1707.02264v3
1801.03625v2,2018-12-26 20:15:08,On Evaluating and Comparing Open Domain Dialog Systems,Anu Venkatesh|Chandra Khatri|Ashwin Ram|Fenfei Guo|Raefer Gabriel|Ashish Nagar|Rohit Prasad|Ming Cheng|Behnam Hedayatnia|Angeliki Metallinou|Rahul Goel|Shaohua Yang|Anirudh Raju,http://arxiv.org/abs/1801.03625v2,http://arxiv.org/pdf/1801.03625v2
1801.08200v1,2018-01-24 21:17:46,"Perspectives on Reproducibility and Sustainability of Open-Source
  Scientific Software from Seven Years of the Dedalus Project",Jeffrey S. Oishi|Benjamin P. Brown|Keaton J. Burns|Daniel Lecoanet|Geoffrey M. Vasil,http://arxiv.org/abs/1801.08200v1,http://arxiv.org/pdf/1801.08200v1
1803.09166v1,2018-03-24 21:39:57,"Go-Smart: Open-Ended, Web-Based Modelling of Minimally Invasive Cancer
  Treatments via a Clinical Domain Approach",Phil Weir|Roland Ellerweg|Stephen Payne|Dominic Reuter|Tuomas Alhonnoro|Philip Voglreiter|Panchatcharam Mariappan|Mika Pollari|Chang Sub Park|Peter Voigt|Tim van Oostenbrugge|Sebastian Fischer|Peter Kalmar|Jurgen Futterer|Philipp Stiegler|Stephan Zangos|Ronan Flanagan|Michael Moche|Marina Kolesnik,http://arxiv.org/abs/1803.09166v1,http://arxiv.org/pdf/1803.09166v1
1805.03784v1,2018-05-10 02:07:02,"SlugNERDS: A Named Entity Recognition Tool for Open Domain Dialogue
  Systems",Kevin K. Bowden|Jiaqi Wu|Shereen Oraby|Amita Misra|Marilyn Walker,http://arxiv.org/abs/1805.03784v1,http://arxiv.org/pdf/1805.03784v1
1805.12398v1,2018-05-31 09:49:50,"The Types, Roles, and Practices of Documentation in Data Analytics Open
  Source Software Libraries: A Collaborative Ethnography of Documentation Work",R. Stuart Geiger|Nelle Varoquaux|Charlotte Mazel-Cabasse|Chris Holdgraf,http://arxiv.org/abs/1805.12398v1,http://arxiv.org/pdf/1805.12398v1
1806.00678v1,2018-06-02 17:46:33,AutoRally An open platform for aggressive autonomous driving,Brian Goldfain|Paul Drews|Changxi You|Matthew Barulic|Orlin Velev|Panagiotis Tsiotras|James M. Rehg,http://arxiv.org/abs/1806.00678v1,http://arxiv.org/pdf/1806.00678v1
1808.08070v1,2018-08-24 10:06:44,"The Open Energy Modelling Framework (oemof) - A new approach to
  facilitate open science in energy system modelling",Simon Hilpert|Cord Kaldemeyer|Uwe Krien|Stefan Günther|Clemens Wingenbach|Guido Plessmann,http://arxiv.org/abs/1808.08070v1,http://arxiv.org/pdf/1808.08070v1
1809.11051v1,2018-09-28 14:16:46,A ROS-based Software Framework for the NimbRo-OP Humanoid Open Platform,Philipp Allgeuer|Max Schwarz|Julio Pastrana|Sebastian Schueller|Marcell Missura|Sven Behnke,http://arxiv.org/abs/1809.11051v1,http://arxiv.org/pdf/1809.11051v1
1810.07812v1,2018-10-17 21:37:59,Openness and Impact of Leading Scientific Countries,Caroline S. Wagner|Travis Whetsell|Jeroen Baas|Koen Jonkers,http://arxiv.org/abs/1810.07812v1,http://arxiv.org/pdf/1810.07812v1
1812.10175v1,2018-12-25 23:38:36,"The iEnvironment Platform: Developing an Open Science Software Platform
  for Integrated Environmental Monitoring and Modeling of Surface Water",Paulo Alencar|Donald Cowan|Doug Mulholland,http://arxiv.org/abs/1812.10175v1,http://arxiv.org/pdf/1812.10175v1
1812.10757v1,2018-12-27 16:17:30,"Advancing the State of the Art in Open Domain Dialog Systems through the
  Alexa Prize",Chandra Khatri|Behnam Hedayatnia|Anu Venkatesh|Jeff Nunn|Yi Pan|Qing Liu|Han Song|Anna Gottardi|Sanjeev Kwatra|Sanju Pancholi|Ming Cheng|Qinglang Chen|Lauren Stubel|Karthik Gopalakrishnan|Kate Bland|Raefer Gabriel|Arindam Mandal|Dilek Hakkani-Tur|Gene Hwang|Nate Michel|Eric King|Rohit Prasad,http://arxiv.org/abs/1812.10757v1,http://arxiv.org/pdf/1812.10757v1
1902.08245v1,2019-02-21 20:18:15,3D electromagnetic modelling and inversion: A case for open-source,Douglas W. Oldenburg|Lindsey J. Heagy|Seogi Kang|Rowan Cockett,http://arxiv.org/abs/1902.08245v1,http://arxiv.org/pdf/1902.08245v1
1903.02090v2,2020-01-27 17:51:39,Open-Sourced Reinforcement Learning Environments for Surgical Robotics,Florian Richter|Ryan K. Orosco|Michael C. Yip,http://arxiv.org/abs/1903.02090v2,http://arxiv.org/pdf/1903.02090v2
1903.03375v1,2019-03-08 11:29:56,Online division of labour: emergent structures in Open Source Software,María J. Palazzi|Jordi Cabot|Javier Luis Cánovas Izquierdo|Albert Solé-Ribalta|Javier Borge-Holthoefer,http://arxiv.org/abs/1903.03375v1,http://arxiv.org/pdf/1903.03375v1
1903.12554v1,2019-03-26 09:20:05,Linked Open Data Validity -- A Technical Report from ISWS 2018,Tayeb Abderrahmani Ghor|Esha Agrawal|Mehwish Alam|Omar Alqawasmeh|Claudia D'amato|Amina Annane|Amr Azzam|Andrew Berezovskyi|Russa Biswas|Mathias Bonduel|Quentin Brabant|Cristina-iulia Bucur|Elena Camossi|Valentina Anita Carriero|Shruthi Chari|David Chaves Fraga|Fiorela Ciroku|Michael Cochez|Hubert Curien|Vincenzo Cutrona|Rahma Dandan|Danilo Dess|Valerio Di Carlo|Ahmed El Amine Djebri|Marieke Van Erp|Faiq Miftakhul Falakh|Alba Fernndez Izquierdo|Giuseppe Futia|Aldo Gangemi|Simone Gasperoni|Arnaud Grall|Lars Heling|Pierre Henri|Noura Herradi|Subhi Issa|Samaneh Jozashoori|Nyoman Juniarta|Lucie-aime Kaffee|Ilkcan Keles|Prashant Khare|Viktor Kovtun|Valentina Leone|Siying Li|Sven Lieber|Pasquale Lisena|Tatiana Makhalova|Ludovica Marinucci|Thomas Minier|Benjamin Moreau|Alberto Moya Loustaunau|Durgesh Nandini|Sylwia Ozdowska|Amanda Pacini De Moura|Swati Padhee|Guillermo Palma|Pedro Del Pozo Jimnez|Valentina Presutti|Roberto Reda|Ettore Rizza|Henry Rosales-mndez|Sebastian Rudolph|Harald Sack|Luca Sciullo|Humasak Simanjuntak|Carlo Stomeo|Thiviyan Thanapalasingam|Tabea Tietz|Dalia Varanka|Maria-esther Vidal|Michael Wolowyk|Maximilian Zocholl,http://arxiv.org/abs/1903.12554v1,http://arxiv.org/pdf/1903.12554v1
1904.03307v1,2019-04-05 22:14:11,"Opening the low-background and high-spectral-resolution domain with the
  ATHENA large X-ray observatory: Development of the Cryogenic AntiCoincidence
  Detector for the X-ray Integral Field Unit",Matteo D'Andrea,http://arxiv.org/abs/1904.03307v1,http://arxiv.org/pdf/1904.03307v1
1907.05663v1,2019-07-12 10:27:42,"Modularization of Research Software for Collaborative Open Source
  Development",Christian Zirkelbach|Alexander Krause|Wilhelm Hasselbring,http://arxiv.org/abs/1907.05663v1,http://arxiv.org/pdf/1907.05663v1
1908.04014v1,2019-08-12 06:02:31,Douglas-Quaid -- Open Source Image Matching Library,Vincent Falconieri,http://arxiv.org/abs/1908.04014v1,http://arxiv.org/pdf/1908.04014v1
1908.04017v2,2019-08-27 09:21:36,"Using the Open Meta Kaggle Dataset to Evaluate Tripartite
  Recommendations in Data Markets",Dominik Kowald|Matthias Traub|Dieter Theiler|Heimo Gursch|Emanuel Lacic|Stefanie Lindstaedt|Roman Kern|Elisabeth Lex,http://arxiv.org/abs/1908.04017v2,http://arxiv.org/pdf/1908.04017v2
1911.03044v2,2020-10-30 17:44:31,"AITom: Open-source AI platform for cryo-electron tomography data
  analysis",Xiangrui Zeng|Min Xu,http://arxiv.org/abs/1911.03044v2,http://arxiv.org/pdf/1911.03044v2
1912.04977v3,2021-03-09 03:03:49,Advances and Open Problems in Federated Learning,Peter Kairouz|H. Brendan McMahan|Brendan Avent|Aurélien Bellet|Mehdi Bennis|Arjun Nitin Bhagoji|Kallista Bonawitz|Zachary Charles|Graham Cormode|Rachel Cummings|Rafael G. L. D'Oliveira|Hubert Eichner|Salim El Rouayheb|David Evans|Josh Gardner|Zachary Garrett|Adrià Gascón|Badih Ghazi|Phillip B. Gibbons|Marco Gruteser|Zaid Harchaoui|Chaoyang He|Lie He|Zhouyuan Huo|Ben Hutchinson|Justin Hsu|Martin Jaggi|Tara Javidi|Gauri Joshi|Mikhail Khodak|Jakub Konečný|Aleksandra Korolova|Farinaz Koushanfar|Sanmi Koyejo|Tancrède Lepoint|Yang Liu|Prateek Mittal|Mehryar Mohri|Richard Nock|Ayfer Özgür|Rasmus Pagh|Mariana Raykova|Hang Qi|Daniel Ramage|Ramesh Raskar|Dawn Song|Weikang Song|Sebastian U. Stich|Ziteng Sun|Ananda Theertha Suresh|Florian Tramèr|Praneeth Vepakomma|Jianyu Wang|Li Xiong|Zheng Xu|Qiang Yang|Felix X. Yu|Han Yu|Sen Zhao,http://arxiv.org/abs/1912.04977v3,http://arxiv.org/pdf/1912.04977v3
1912.11672v1,2019-12-25 14:05:00,"A re-formulization of the transfer matrix method for calculating
  wave-functions in higher dimensional disordered open systems",Liang Chen|Cheng Lv|Xunya Jiang,http://arxiv.org/abs/1912.11672v1,http://arxiv.org/pdf/1912.11672v1
1912.12371v2,2020-01-02 03:01:37,"Open Source Software Sustainability Models: Initial White Paper from the
  Informatics Technology for Cancer Research Sustainability and Industry
  Partnership Work Group",Y. Ye|R. D. Boyce|M. K. Davis|K. Elliston|C. Davatzikos|A. Fedorov|J. C. Fillion-Robin|I. Foster|J. Gilbertson|M. Heiskanen|J. Klemm|A. Lasso|J. V. Miller|M. Morgan|S. Pieper|B. Raumann|B. Sarachan|G. Savova|J. C. Silverstein|D. Taylor|J. Zelnis|G. Q. Zhang|M. J. Becich,http://arxiv.org/abs/1912.12371v2,http://arxiv.org/pdf/1912.12371v2
2001.07935v2,2020-01-27 11:09:34,"CodeReef: an open platform for portable MLOps, reusable automation
  actions and reproducible benchmarking",Grigori Fursin|Herve Guillou|Nicolas Essayan,http://arxiv.org/abs/2001.07935v2,http://arxiv.org/pdf/2001.07935v2
2002.00390v1,2020-02-02 13:35:41,"Avocado: Open-Source Flexible Constrained Interaction Testing for
  Practical Application",Jan Richter|Bestoun S. Ahmed|Miroslav Bures|Cleber R. Rosa Junior,http://arxiv.org/abs/2002.00390v1,http://arxiv.org/pdf/2002.00390v1
2003.07687v1,2020-02-28 07:32:07,"Augmented reality as a tool for open science platform by research
  collaboration in virtual teams",Mariya P. Shyshkina|Maiia V. Marienko,http://arxiv.org/abs/2003.07687v1,http://arxiv.org/pdf/2003.07687v1
2003.05153v2,2020-07-03 15:13:40,"The Open Universe survey of Swift-XRT GRB fields: a complete sample of
  HBL blazars",P. Giommi|Y. L. Chang|S. Turriziani|T. Glauch|C. Leto|F. Verrecchia|P. Padovani|A. V. Penacchioni|F. Arneodo|U. Barres de Almeida|C. H. Brandt|M. Capalbi|O. Civitarese|V. D'Elia|A. Di Giovanni|M. De Angelis|J. Del Rio Vera|S. Di Pippo|R. Middei|M. Perri|A. M. T. Pollock|S. Puccetti|N. Ricard|R. Ruffini|N. Sahakyan,http://arxiv.org/abs/2003.05153v2,http://arxiv.org/pdf/2003.05153v2
2003.10572v1,2020-03-23 22:57:11,"Characterizing the Roles of Contributors in Open-source Scientific
  Software Projects",Reed Milewicz|Gustavo Pinto|Paige Rodeghero,http://arxiv.org/abs/2003.10572v1,http://arxiv.org/pdf/2003.10572v1
2004.06111v3,2020-05-11 13:38:06,Open Data Resources for Fighting COVID-19,Teodoro Alamo|Daniel G. Reina|Martina Mammarella|Alberto Abella,http://arxiv.org/abs/2004.06111v3,http://arxiv.org/pdf/2004.06111v3
2005.12443v1,2020-05-25 23:44:19,"MaintNet: A Collaborative Open-Source Library for Predictive Maintenance
  Language Resources",Farhad Akhbardeh|Travis Desell|Marcos Zampieri,http://arxiv.org/abs/2005.12443v1,http://arxiv.org/pdf/2005.12443v1
2006.02481v3,2020-10-16 09:58:35,"Open data base analysis of scaling and spatio-temporal properties of
  power grid frequencies",Leonardo Rydin Gorjão|Richard Jumar|Heiko Maass|Veit Hagenmeyer|G. Cigdem Yalcin|Johannes Kruse|Marc Timme|Christian Beck|Dirk Witthaut|Benjamin Schäfer,http://arxiv.org/abs/2006.02481v3,http://arxiv.org/pdf/2006.02481v3
2006.02729v5,2020-09-15 14:05:47,Prototyping of Open Source NB-IoT Network,Chieh-Chun Chen|Ray-Guang Cheng|Chung-Yin Ho|Matthieu Kanj|Bruno Mongazon-Cazavet|Navid Nikaein,http://arxiv.org/abs/2006.02729v5,http://arxiv.org/pdf/2006.02729v5
2007.10498v1,2020-07-20 21:50:35,"Collaborative Cloud Computing Framework for Health Data with Open Source
  Technologies",Fatemeh Rouzbeh|Ananth Grama|Paul Griffin|Mohammad Adibuzzaman,http://arxiv.org/abs/2007.10498v1,http://arxiv.org/pdf/2007.10498v1
2007.15684v1,2020-07-30 18:49:23,Muon Colliders: Opening New Horizons for Particle Physics,Kenneth Long|Donatella Lucchesi|Mark Palmer|Nadia Pastrone|Daniel Schulte|Vladimir Shiltsev,http://arxiv.org/abs/2007.15684v1,http://arxiv.org/pdf/2007.15684v1
2008.05015v1,2020-08-11 21:50:47,Open Source Software Development Process: A Systematic Review,Bianca Minetto Napoleão|Fabio Petrillo|Sylvain Hallé,http://arxiv.org/abs/2008.05015v1,http://arxiv.org/pdf/2008.05015v1
