id,date,title,link_abstract
1608.03608v2,2019-04-16 16:51:31,"Aristotle vs. Ringelmann: On Superlinear Production in Open Source
  Software",http://arxiv.org/abs/1608.03608v2
1801.03625v2,2018-12-26 20:15:08,On Evaluating and Comparing Open Domain Dialog Systems,http://arxiv.org/abs/1801.03625v2
1805.12398v1,2018-05-31 09:49:50,"The Types, Roles, and Practices of Documentation in Data Analytics Open
  Source Software Libraries: A Collaborative Ethnography of Documentation Work",http://arxiv.org/abs/1805.12398v1
1806.00678v1,2018-06-02 17:46:33,AutoRally An open platform for aggressive autonomous driving,http://arxiv.org/abs/1806.00678v1
1808.08070v1,2018-08-24 10:06:44,"The Open Energy Modelling Framework (oemof) - A new approach to
  facilitate open science in energy system modelling",http://arxiv.org/abs/1808.08070v1
1809.11051v1,2018-09-28 14:16:46,A ROS-based Software Framework for the NimbRo-OP Humanoid Open Platform,http://arxiv.org/abs/1809.11051v1
1810.07812v1,2018-10-17 21:37:59,Openness and Impact of Leading Scientific Countries,http://arxiv.org/abs/1810.07812v1
1812.10175v1,2018-12-25 23:38:36,"The iEnvironment Platform: Developing an Open Science Software Platform
  for Integrated Environmental Monitoring and Modeling of Surface Water",http://arxiv.org/abs/1812.10175v1
1812.10757v1,2018-12-27 16:17:30,"Advancing the State of the Art in Open Domain Dialog Systems through the
  Alexa Prize",http://arxiv.org/abs/1812.10757v1
1902.08245v1,2019-02-21 20:18:15,3D electromagnetic modelling and inversion: A case for open-source,http://arxiv.org/abs/1902.08245v1
1903.02090v2,2020-01-27 17:51:39,Open-Sourced Reinforcement Learning Environments for Surgical Robotics,http://arxiv.org/abs/1903.02090v2
1903.03375v1,2019-03-08 11:29:56,Online division of labour: emergent structures in Open Source Software,http://arxiv.org/abs/1903.03375v1
1903.12554v1,2019-03-26 09:20:05,Linked Open Data Validity -- A Technical Report from ISWS 2018,http://arxiv.org/abs/1903.12554v1
1904.03307v1,2019-04-05 22:14:11,"Opening the low-background and high-spectral-resolution domain with the
  ATHENA large X-ray observatory: Development of the Cryogenic AntiCoincidence
  Detector for the X-ray Integral Field Unit",http://arxiv.org/abs/1904.03307v1
1907.05663v1,2019-07-12 10:27:42,"Modularization of Research Software for Collaborative Open Source
  Development",http://arxiv.org/abs/1907.05663v1
1908.04014v1,2019-08-12 06:02:31,Douglas-Quaid -- Open Source Image Matching Library,http://arxiv.org/abs/1908.04014v1
1908.04017v2,2019-08-27 09:21:36,"Using the Open Meta Kaggle Dataset to Evaluate Tripartite
  Recommendations in Data Markets",http://arxiv.org/abs/1908.04017v2
1911.03044v2,2020-10-30 17:44:31,"AITom: Open-source AI platform for cryo-electron tomography data
  analysis",http://arxiv.org/abs/1911.03044v2
1912.04977v3,2021-03-09 03:03:49,Advances and Open Problems in Federated Learning,http://arxiv.org/abs/1912.04977v3
1912.11672v1,2019-12-25 14:05:00,"A re-formulization of the transfer matrix method for calculating
  wave-functions in higher dimensional disordered open systems",http://arxiv.org/abs/1912.11672v1
1912.12371v2,2020-01-02 03:01:37,"Open Source Software Sustainability Models: Initial White Paper from the
  Informatics Technology for Cancer Research Sustainability and Industry
  Partnership Work Group",http://arxiv.org/abs/1912.12371v2
2001.07935v2,2020-01-27 11:09:34,"CodeReef: an open platform for portable MLOps, reusable automation
  actions and reproducible benchmarking",http://arxiv.org/abs/2001.07935v2
2002.00390v1,2020-02-02 13:35:41,"Avocado: Open-Source Flexible Constrained Interaction Testing for
  Practical Application",http://arxiv.org/abs/2002.00390v1
2003.07687v1,2020-02-28 07:32:07,"Augmented reality as a tool for open science platform by research
  collaboration in virtual teams",http://arxiv.org/abs/2003.07687v1
2003.05153v2,2020-07-03 15:13:40,"The Open Universe survey of Swift-XRT GRB fields: a complete sample of
  HBL blazars",http://arxiv.org/abs/2003.05153v2
2003.10572v1,2020-03-23 22:57:11,"Characterizing the Roles of Contributors in Open-source Scientific
  Software Projects",http://arxiv.org/abs/2003.10572v1
2004.06111v3,2020-05-11 13:38:06,Open Data Resources for Fighting COVID-19,http://arxiv.org/abs/2004.06111v3
2005.12443v1,2020-05-25 23:44:19,"MaintNet: A Collaborative Open-Source Library for Predictive Maintenance
  Language Resources",http://arxiv.org/abs/2005.12443v1
2006.02481v3,2020-10-16 09:58:35,"Open data base analysis of scaling and spatio-temporal properties of
  power grid frequencies",http://arxiv.org/abs/2006.02481v3
2006.02729v5,2020-09-15 14:05:47,Prototyping of Open Source NB-IoT Network,http://arxiv.org/abs/2006.02729v5
2007.10498v1,2020-07-20 21:50:35,"Collaborative Cloud Computing Framework for Health Data with Open Source
  Technologies",http://arxiv.org/abs/2007.10498v1
2007.15684v1,2020-07-30 18:49:23,Muon Colliders: Opening New Horizons for Particle Physics,http://arxiv.org/abs/2007.15684v1
2008.05015v1,2020-08-11 21:50:47,Open Source Software Development Process: A Systematic Review,http://arxiv.org/abs/2008.05015v1
2008.11844v1,2020-08-26 22:10:34,"Argo Lite: Open-Source Interactive Graph Exploration and Visualization
  in Browsers",http://arxiv.org/abs/2008.11844v1
2009.01734v1,2020-09-03 15:14:44,"Computation Of Microbial Ecosystems in Time and Space (COMETS): An open
  source collaborative platform for modeling ecosystems metabolism",http://arxiv.org/abs/2009.01734v1
2009.09168v1,2020-09-19 05:11:38,"Dynamic Scheduling and Workforce Assignment in Open Source Software
  Development",http://arxiv.org/abs/2009.09168v1
