id,doi,date,title,keywords
10.5281/zenodo.4662095,10.5281/zenodo.4662095,2021-04-04,Collaborating on Open Data Science Projects,open science; saudi arabia; wids; version control; git; DOI; zenodo; Citable code; Discoverable code; GitHub
10.5281/zenodo.8046515,10.5281/zenodo.8046515,2023-06-16,Implementing Open Science: FAIR principles,"FAIR; FAIR principles; FAIR data; RDM, Open Science"
10.5281/zenodo.8005487,10.5281/zenodo.8005487,2023-06-05,FOSSR: Driving Fair and Open Social Science Research,Open cloud; Open Science; Research infrastructures; CESSDA ERIC; SHARE ERIC; RISIS; Innovation; Social Sciences
10.5281/zenodo.8043545,10.5281/zenodo.8043545,2023-06-15,Open Science Practices for Teams,Open Science; Trust; Transparency; Responsibility; Communication; Sharing
10.5281/zenodo.4017999,10.5281/zenodo.4017999,2020-09-07,LIBSENSE Statement on Open Science in Africa,LIBSENSE; Open Science; Open Access; Policy; Equality; Diversity; Social Justice; Indigenous Knowledge
10.5281/zenodo.6780177,10.5281/zenodo.6780177,2022-06-24,DIY Open Science Collaboration. How to make the most of your [sustainability research] dream team,Transdisciplinary techniques; Open science; Environmental challenges
10.5281/zenodo.8105597,10.5281/zenodo.8105597,2023-07-02,Eurodoc Statement on Open Science 2023,Open Science
10.5281/zenodo.3529587,10.5281/zenodo.3529587,2019-11-05,"Promoting Open Science Through Collaborative Learning. The MOOC ""Science 2.0 and Open Research Methods""",Open Science; MOOC; Higher Education; Open Research
10.5281/zenodo.7848675,10.5281/zenodo.7848675,2023-04-24,Emerging roles of open leadership in research: Insights from The Turing Way,
10.1184/R1/9989516.v1,10.1184/R1/9989516.v1,2019-10-16,At the intersection of open science and the transforming research library: Carnegie Mellon University Libraries Open Science Program,Research support; open science; data sharing; research training
10.5281/zenodo.7428708,10.5281/zenodo.7428708,2022-11-17,Open Science & Reproducibility: Ethically-led computational research,
10.5281/zenodo.7050678,10.5281/zenodo.7050678,2022-09-27,Open Science & Reproducibility:  The Turing Way Workshop,
10.5281/zenodo.3260265,10.5281/zenodo.3260265,2019-06-28,Open Science and the Data Stewardship Programme at Delft University of Technology,
10.5281/zenodo.7870126,10.5281/zenodo.7870126,2023-04-26,"Practicing Open Science: Principles, Ecosystems, and Tools",course; workshop; open science; data; software
10.5281/zenodo.7879315,10.5281/zenodo.7879315,2023-04-26,Practicing Open Science for Teams,data; data management; open science; course; workshop; software
10.5281/zenodo.8401693,10.5281/zenodo.8401693,2023-10-03,Keynote speech - Co-creating enablers for practicing Open Science - the EC perspective,Open Science policy
