"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"1","gr-qc/0003102v1","2000-03-28 16:01:19","2000-03-28 16:01:19","A Class of Einstein-Maxwell Fields Generalizing the Equilibrium
  Solutions","  The Einstein-Maxwell fields of rotating stationary sources are represented by
the SU(2,1) spinor potential $\Psi_A$ satisfying \[ \nabla \cdot [\Theta
^{-1}(\Psi_A\nabla \Psi_B-\Psi_B\nabla \Psi_A)]=-2\Theta ^{-2}\vec{C}\cdot
(\Psi_A\nabla \Psi_B-\Psi_B\nabla \Psi_A) \] where $\Theta =\Psi ^{\dagger
}\cdot \Psi $ is the SU(2,1) norm of $\Psi $% . The Ernst potentials are
expressed in terms of the spinor potential by $% {\cal E}=\frac{\Psi_1-\Psi
_2}{\Psi_1+\Psi_2}$, $\Phi =\frac{\Psi_3}{% \Psi_1+\Psi_2}$ . The group
invariant vector $\vec{C}=-2i\func{Im}\{\Psi ^{\dagger}\cdot \nabla \Psi \}$ is
generated exclusively by the rotation of the source, hence it is appropriate to
refer to $\vec{C}$ as the {\em swirl} of the field. Static fields have no
swirl.
  The fields with no swirl are a class generalizing the equilibrium ($| e| =m$)
class of Einstein-Maxwell fields. We obtain the integrability conditions and a
highly symmetrical set of field equations for this class, as well as exact
solutions and an open research problem.
","Zoltán Perjés","","http://arxiv.org/abs/gr-qc/0003102v1","http://arxiv.org/pdf/gr-qc/0003102v1","","9 pages","","","gr-qc","gr-qc"
"2","math/0103131v1","2001-03-21 15:03:02","2001-03-21 15:03:02","Some classical multiple orthogonal polynomials","  Recently there has been a renewed interest in an extension of the notion of
orthogonal polynomials known as multiple orthogonal polynomials. This notion
comes from simultaneous rational approximation (Hermite-Pade approximation) of
a system of several functions. We describe seven families of multiple
orthogonal polynomials which have he same flavor as the very classical
orthogonal polynomials of Jacobi, Laguerre and Hermite. We also mention some
open research problems and some applications.
","Walter Van Assche|Els Coussement","","http://arxiv.org/abs/math/0103131v1","http://arxiv.org/pdf/math/0103131v1","http://dx.doi.org/10.1016/S0377-0427(00)00503-3","","J. Comput. Appl. Math. 127 (2001), 317-347","10.1016/S0377-0427(00)00503-3","math.CA","math.CA|42C05, 33C45"
"3","quant-ph/0405089v1","2004-05-16 16:51:20","2004-05-16 16:51:20","Combinatorial Approaches in Quantum Information Theory","  We investigate the exploitation of various combinatorial properties of graphs
and set systems to study several issues in quantum information theory. We
characterize the combinatorics of distributed EPR pairs for preparing
multi-partite entanglement in a real communication network. This combinatorics
helps in the study of various problems in multi-party case by just reducing to
the two-party case. Particularly, we use this combinatorics to (1) study
various possible and impossible transformations of multi-partite states under
LOCC, thus presenting an entirely new approach, not based on entropic
criterion, to study such state transformations. (2) present a protocol and
proof of its unconditional security for quantum key distribution amongst
several trusted parties. (3) propose an idea to combine the features of quantum
key distribution and quantum secret sharing. We investigate all the above
issues in great detail and finally conclude briefly with some open research
directions based on our research.
","Sudhir Kumar Singh","","http://arxiv.org/abs/quant-ph/0405089v1","http://arxiv.org/pdf/quant-ph/0405089v1","","MSc Thesis, Dept. of Mathematics, IIT Kharagpur, India; Recommended
  for the ""Best Project Award"" of the dept","","","quant-ph","quant-ph|cs.CR|math.CO"
"4","quant-ph/0506005v3","2005-06-01 03:55:29","2005-10-04 07:09:19","Common Axioms for Inferring Classical Ensemble Dynamics and Quantum
  Theory","  The same set of physically motivated axioms can be used to construct both the
classical ensemble Hamilton-Jacobi equation and Schrodingers equation. Crucial
roles are played by the assumptions of universality and simplicity (Occam's
Razor) which restrict the number and type of of arbitrary constants that appear
in the equations of motion. In this approach, non-relativistic quantum theory
is seen as the unique single parameter extension of the classical ensemble
dynamics. The method is contrasted with other related constructions in the
literature and some consequences of relaxing the axioms are also discussed: for
example, the appearance of nonlinear higher-derivative corrections possibly
related to gravity and spacetime fluctuations. Finally, some open research
problems within this approach are highlighted.
","Rajesh R. Parwani","","http://arxiv.org/abs/quant-ph/0506005v3","http://arxiv.org/pdf/quant-ph/0506005v3","http://dx.doi.org/10.1063/1.2158745","Final proceedings version. 6 pages. Presented at the 3rd QTRF
  conference at Vaxjo, Sweden, June6-11 2005","","10.1063/1.2158745","quant-ph","quant-ph|hep-th"
"5","cs/0612040v1","2006-12-07 07:56:52","2006-12-07 07:56:52","The Workshop on Internet Topology (WIT) Report","  Internet topology analysis has recently experienced a surge of interest in
computer science, physics, and the mathematical sciences. However, researchers
from these different disciplines tend to approach the same problem from
different angles. As a result, the field of Internet topology analysis and
modeling must untangle sets of inconsistent findings, conflicting claims, and
contradicting statements.
  On May 10-12, 2006, CAIDA hosted the Workshop on Internet topology (WIT). By
bringing together a group of researchers spanning the areas of computer
science, physics, and the mathematical sciences, the workshop aimed to improve
communication across these scientific disciplines, enable interdisciplinary
crossfertilization, identify commonalities in the different approaches, promote
synergy where it exists, and utilize the richness that results from exploring
similar problems from multiple perspectives.
  This report describes the findings of the workshop, outlines a set of
relevant open research problems identified by participants, and concludes with
recommendations that can benefit all scientific communities interested in
Internet topology research.
","Dmitri Krioukov|Fan Chung|kc claffy|Marina Fomenkov|Alessandro Vespignani|Walter Willinger","","http://arxiv.org/abs/cs/0612040v1","http://arxiv.org/pdf/cs/0612040v1","http://dx.doi.org/10.1145/1198255.1198267","","ACM SIGCOMM Computer Communication Review (CCR), v.37, n.1,
  p.69-73, 2007","10.1145/1198255.1198267","cs.NI","cs.NI|C.2.5; C.2.1"
"6","0704.1267v1","2007-04-10 16:26:42","2007-04-10 16:26:42","Text Line Segmentation of Historical Documents: a Survey","  There is a huge amount of historical documents in libraries and in various
National Archives that have not been exploited electronically. Although
automatic reading of complete pages remains, in most cases, a long-term
objective, tasks such as word spotting, text/image alignment, authentication
and extraction of specific fields are in use today. For all these tasks, a
major step is document segmentation into text lines. Because of the low quality
and the complexity of these documents (background noise, artifacts due to
aging, interfering lines),automatic text line segmentation remains an open
research field. The objective of this paper is to present a survey of existing
methods, developed during the last decade, and dedicated to documents of
historical interest.
","Laurence Likforman-Sulem|Abderrazak Zahour|Bruno Taconet","","http://arxiv.org/abs/0704.1267v1","http://arxiv.org/pdf/0704.1267v1","http://dx.doi.org/10.1007/s10032-006-0023-z","25 pages, submitted version, To appear in International Journal on
  Document Analysis and Recognition, On line version available at
  http://www.springerlink.com/content/k2813176280456k3/","Vol. 9, no 2-4, April 2007, pp. 123-138","10.1007/s10032-006-0023-z","cs.CV","cs.CV"
"7","0705.2136v1","2007-05-15 13:16:49","2007-05-15 13:16:49","The Variable Star One-shot Project, and its little child: Wikimbad","  The Variable Star One-shot Project (VSOP) aimed at providing to the
world-wide stellar community the necessary one-shot spectrum of unstudied
variable stars, too often classified as such by an analysis of photometric data
only. The VSOP has established an new kind of observational model, where all
steps from observations to spectral analysis, are automatized (or are underway
to be fully automatized). The project is centralized on a collaborative wiki
website. The VSOP operational model is very successful, data is continously
flowing and being analyszed, and VSOP is now a worldwide open collaboration of
people with very different and complementary skills and expertise. The idea of
a central wiki website has been extended by one of us to propose a new service
to the whole astronomical community, called Wikimbad. Wikimbad is an open wiki
website aimed at collecting, organizing and making publicly available all kind
of reduced and published astronomical data. Its strengths and a comparison with
the Virtual Observatory are discussed. See: http://vsop.sc.eso.org and
http://wikimbad.org
","C. Foellmi|T. H. Dall|J. Pritchard|G. Lo Curto|C. Allende Prieto|H. Bruntt|P. J. Amado|T. Arentoft|M. Baes|E. Depagne|M. Fernandez|V. D. Ivanov|L. Koesterke|L. Monaco|K O'Brien|L. M. Sarro|I. Saviane|J. Scharwaechter|L. Schmidtobreick|O. Schuetz|A. Seifahrt|F. Selman|M. Stefanon|M. Sterzik","","http://arxiv.org/abs/0705.2136v1","http://arxiv.org/pdf/0705.2136v1","","4 pages, 3 figures, to appear in the proceedings of the workshop help
  at ESA, in March 2007, entitled ""Astronomical Spectroscopy and Virtual
  Observatory""","","","astro-ph","astro-ph"
"8","0708.0343v1","2007-08-02 13:35:57","2007-08-02 13:35:57","Dynamic Modeling and Statistical Analysis of Event Times","  This review article provides an overview of recent work in the modeling and
analysis of recurrent events arising in engineering, reliability, public
health, biomedicine and other areas. Recurrent event modeling possesses unique
facets making it different and more difficult to handle than single event
settings. For instance, the impact of an increasing number of event occurrences
needs to be taken into account, the effects of covariates should be considered,
potential association among the interevent times within a unit cannot be
ignored, and the effects of performed interventions after each event occurrence
need to be factored in. A recent general class of models for recurrent events
which simultaneously accommodates these aspects is described. Statistical
inference methods for this class of models are presented and illustrated
through applications to real data sets. Some existing open research problems
are described.
","Edsel A. Peña","","http://arxiv.org/abs/0708.0343v1","http://arxiv.org/pdf/0708.0343v1","http://dx.doi.org/10.1214/088342306000000349","Published at http://dx.doi.org/10.1214/088342306000000349 in the
  Statistical Science (http://www.imstat.org/sts/) by the Institute of
  Mathematical Statistics (http://www.imstat.org)","Statistical Science 2006, Vol. 21, No. 4, 487-500","10.1214/088342306000000349","stat.ME","stat.ME"
"9","0710.1559v1","2007-10-08 14:42:30","2007-10-08 14:42:30","Classical and quantum behavior of dynamical systems defined by functions
  of solvable Hamiltonians","  We discuss the classical and quantum mechanical evolution of systems
described by a Hamiltonian that is a function of a solvable one, both
classically and quantum mechanically. The case in which the solvable
Hamiltonian corresponds to the harmonic oscillator is emphasized. We show that,
in spite of the similarities at the classical level, the quantum evolution is
very different. In particular, this difference is important in constructing
coherent states, which is impossible in most cases. The class of Hamiltonians
we consider is interesting due to its pedagogical value and its applicability
to some open research problems in quantum optics and quantum gravity.
","J. Fernando Barbero G.|Iñaki Garay|Eduardo J. S. Villaseñor","","http://arxiv.org/abs/0710.1559v1","http://arxiv.org/pdf/0710.1559v1","http://dx.doi.org/10.1119/1.2805234","Accepted for publication in American Journal of Physics","Am.J.Phys. 76 (2008) 153-157","10.1119/1.2805234","quant-ph","quant-ph"
"10","0711.0685v1","2007-11-05 16:36:04","2007-11-05 16:36:04","NIBLES: an HI census of local SDSS galaxies","  NIBLES is a Key Project proposed for the 100m-class Nancay Radio Telescope
(NRT) in France. Its aim is a census of the HI gas content and dynamics of
4,000 Sloan Digital Sky Survey galaxies in the Local Volume (900<cz<12,000
km/s). The galaxies were selected based on their total stellar mass (absolute
z-band magnitude Mz), and are distributed evenly over the entire range of Mz
covered by local SDSS galaxies (-10 to -24 mag, for H0=70 km/s/Mpc). A pilot
survey is being made of over 600 galaxies. NIBLES will be complementary to the
ALFALFA and EBHIS blind HI surveys, which will detect a different ensemble of
local galaxies, and which our pilot survey results indicate will detect about
40-45% of the NIBLES sample. NIBLES is an open collaboration and anyone
interested in the science and willing to contribute to the project is welcome
to join the score of NIBLErS.
","W. van Driel|S. Schneider|M. Lehnert|the NIBLES Consortium","Paris Observatory, GEPI|UMASS|Paris Observatory, GEPI|","http://arxiv.org/abs/0711.0685v1","http://arxiv.org/pdf/0711.0685v1","http://dx.doi.org/10.1007/978-1-4020-6933-8_94","3 pages, to appear in Proceedings of ""Galaxies in the Local Volume""
  Sydney 8-13 July 2007","","10.1007/978-1-4020-6933-8_94","astro-ph","astro-ph"
