"","id","title","abstract","authors","link_pdf","link_doi"
"1","0904.3950v1","New Science on the Open Science Grid","  The Open Science Grid (OSG) includes work to enable new science, new
scientists, and new modalities in support of computationally based research.
There are frequently significant sociological and organizational changes
required in transformation from the existing to the new. OSG leverages its
deliverables to the large scale physics experiment member communities to
benefit new communities at all scales through activities in education,
engagement and the distributed facility. As a partner to the poster and
tutorial at SciDAC 2008, this paper gives both a brief general description and
some specific examples of new science enabled on the OSG. More information is
available at the OSG web site: (http://www.opensciencegrid.org).
","The Open Science Grid Executive Board| :|Ruth Pordes|Mine Altunay|Paul Avery|Alina Bejan|Kent Blackburn|Alan Blatecky|Rob Gardner|Bill Kramer|Miron Livny|John McGee|Maxim Potekhin|Rob Quick|Doug Olson|Alain Roy|Chander Sehgal|Torre Wenaus|Mike Wilde|Frank Wuerthwein","http://arxiv.org/pdf/0904.3950v1","http://dx.doi.org/10.1088/1742-6596/125/1/012070"
"2","1210.0713v1","Open Science Project in White Dwarf Research","  I will propose a new way of advancing white dwarf research. Open science is a
method of doing research that lets everyone who has something to say about the
subject take part in the problem solving process.
  Already now, the amount of information we gather from observations, theory
and modelling is too vast for any one individual to comprehend and turn into
knowledge. And the amount of information just keeps growing in the future. A
platform that promotes sharing of thoughts and ideas allows us to pool our
collective knowledge of white dwarfs and get a clear picture of our research
field. It will also make it possible for researchers in fields closely related
to ours (AGB stars, planetary nebulae etc.) to join the scientific discourse.
  In the first stage this project would allow us to summarize what we know and
what we don't, and what we should search for next. Later, it could grow into a
large collaboration that would have the impact to, for example, suggest
instrument requirements for future telescopes to satisfy the needs of the white
dwarf community, or propose large surveys.
  A simple implementation would be a wiki page for collecting knowledge
combined with a forum for more extensive discussions. These would be simple and
cheap to maintain. A large community effort on the whole would be needed for
the project to succeed, but individual workload should stay at a low level.
","Tommi Vornanen","http://arxiv.org/pdf/1210.0713v1",""
"3","1308.0843v2","Snowmass Energy Frontier Simulations using the Open Science Grid (A
  Snowmass 2013 whitepaper)","  Snowmass is a US long-term planning study for the high-energy community by
the American Physical Society's Division of Particles and Fields. For its
simulation studies, opportunistic resources are harnessed using the Open
Science Grid infrastructure. Late binding grid technology, GlideinWMS, was used
for distributed scheduling of the simulation jobs across many sites mainly in
the US. The pilot infrastructure also uses the Parrot mechanism to dynamically
access CvmFS in order to ascertain a homogeneous environment across the nodes.
This report presents the resource usage and the storage model used for
simulating large statistics Standard Model backgrounds needed for Snowmass
Energy Frontier studies.
","A. Avetisyan|S. Bhattacharya|M. Narain|S. Padhi|J. Hirschauer|T. Levshina|P. McBride|C. Sehgal|M. Slyz|M. Rynge|S. Malik|J. Stupak III","http://arxiv.org/pdf/1308.0843v2",""
"4","1308.5533v1","Climate Change and Open Science","  Obtaining reliable answers to the major scientific questions raised by
climate change in time to take appropriate action gives added urgency to the
open access program.
","Ian Percival","http://arxiv.org/pdf/1308.5533v1",""
"5","1309.2966v1","Sustainable Software Ecosystems for Open Science","  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
","Marcus D. Hanwell|Amitha Perera|Wes Turner|Patrick O'Leary|Katie Osterdahl|Bill Hoffman|Will Schroeder","http://arxiv.org/pdf/1309.2966v1","http://dx.doi.org/10.6084/m9.figshare.790756"
"6","1311.4762v2","Software Uncertainty in Integrated Environmental Modelling: the role of
  Semantics and Open Science","  Computational aspects increasingly shape environmental sciences. Actually,
transdisciplinary modelling of complex and uncertain environmental systems is
challenging computational science (CS) and also the science-policy interface.
Large spatial-scale problems falling within this category - i.e. wide-scale
transdisciplinary modelling for environment (WSTMe) - often deal with factors
(a) for which deep-uncertainty may prevent usual statistical analysis of
modelled quantities and need different ways for providing policy-making with
science-based support. Here, practical recommendations are proposed for
tempering a peculiar - not infrequently underestimated - source of uncertainty.
Software errors in complex WSTMe may subtly affect the outcomes with possible
consequences even on collective environmental decision-making. Semantic
transparency in CS and free software are discussed as possible mitigations.
","Daniele de Rigo","http://arxiv.org/pdf/1311.4762v2","http://dx.doi.org/10.6084/m9.figshare.155701"
"7","1402.6013v1","Open science in machine learning","  We present OpenML and mldata, open science platforms that provides easy
access to machine learning data, software and results to encourage further
study and application. They go beyond the more traditional repositories for
data sets and software packages in that they allow researchers to also easily
share the results they obtained in experiments and to compare their solutions
with those of others.
","Joaquin Vanschoren|Mikio L. Braun|Cheng Soon Ong","http://arxiv.org/pdf/1402.6013v1",""
"8","1404.0191v2","A quantitative perspective on ethics in large team science","  The gradual crowding out of singleton and small team science by large team
endeavors is challenging key features of research culture. It is therefore
important for the future of scientific practice to reflect upon the individual
scientist's ethical responsibilities within teams. To facilitate this
reflection we show labor force trends in the US revealing a skewed growth in
academic ranks and increased levels of competition for promotion within the
system; we analyze teaming trends across disciplines and national borders
demonstrating why it is becoming difficult to distribute credit and to avoid
conflicts of interest; and we use more than a century of Nobel prize data to
show how science is outgrowing its old institutions of singleton awards. Of
particular concern within the large team environment is the weakening of the
mentor-mentee relation, which undermines the cultivation of virtue ethics
across scientific generations. These trends and emerging organizational
complexities call for a universal set of behavioral norms that transcend team
heterogeneity and hierarchy. To this end, our expository analysis provides a
survey of ethical issues in team settings to inform science ethics education
and science policy.
","Alexander M. Petersen|Ioannis Pavlidis|Ioanna Semendeferi","http://arxiv.org/pdf/1404.0191v2","http://dx.doi.org/10.1007/s11948-014-9562-8"
"9","1406.7541v1","Open Collaboration for Innovation: Principles and Performance","  The principles of open collaboration for innovation (and production), once
distinctive to open source software, are now found in many other ventures. Some
of these ventures are internet-based: Wikipedia, online forums and communities.
Others are off-line: in medicine, science, and everyday life. Such ventures
have been affecting traditional firms, and may represent a new organizational
form. Despite the impact of such ventures, questions remain about their
operating principles and performance. Here we define open collaboration (OC),
the underlying set of principles, and propose that it is a robust engine for
innovation and production. First, we review multiple OC ventures and identify
four defining principles. In all instances, participants create goods and
services of economic value, they exchange and reuse each other's work, they
labor purposefully with just loose coordination, and they permit anyone to
contribute and consume. These principles distinguish OC from other
organizational forms, such as firms or cooperatives. Next, we turn to
performance. To understand the performance of OC, we develop a computational
model, combining innovation theory with recent evidence on human cooperation.
We identify and investigate three elements that affect performance: the
cooperativeness of participants, the diversity of their needs, and the degree
to which the goods are rival (subtractable). Through computational experiments,
we find that OC performs well even in seemingly harsh environments: when
cooperators are a minority, free riders are present, diversity is lacking, or
goods are rival. We conclude that OC is viable and likely to expand into new
domains. The findings also inform the discussion on new organizational forms,
collaborative and communal.
","Sheen Levine|Michael Prietula","http://arxiv.org/pdf/1406.7541v1",""
"10","1407.3682v2","When data sharing gets close to 100%: what ancient human DNA studies can
  teach the Open Science movement","  This study analyzes rates and ways of data sharing regarding mitochondrial, Y
chromosomal and autosomal polymorphisms in a total of 162 papers on human
ancient DNA published between 1988 and 2013. For the most part, data are
available in such a way as to make their scrutiny and reuse possible. The
estimated sharing rate is not far from totality (97.6% +/- 2.1%) and
substantially higher than observed in other fields of genetic research
(Evolutionary, Medical and Forensic Genetics). A questionnaire-based survey
suggests that the authors awareness of the importance of openness and
transparency for scientific progress is a fundamental factor for the
achievement of such a high sharing rate. Most data were made available through
body text, but the use of primary databases increased with the application of
complete mitochondrial and next generation sequencing methods. Our study
highlights three important aspects. First, we provide evidence that researchers
motivations are as necessary as stakeholders policies and norms to achieve very
high sharing rates. Second, careful analyses of the ways in which data are made
available are an important first step to maximize data findability,
accessibility, useability and preservation. Third and finally, the case of
human ancient DNA studies demonstrates how Open Science can foster scientific
advancements, showing that openness and transparency can help build rigorous
and reliable scientific practices even in the presence of complex experimental
challenges.
","Paolo Anagnostou|Marco Capocasa|Nicola Milia|Emanuele Sanna|Daniela Luzi|Giovanni Destro Bisol","http://arxiv.org/pdf/1407.3682v2","http://dx.doi.org/10.1371/journal.pone.0121409"
