id,title,publication_date,doi
https://openalex.org/W2982936646,"Digital Twin: Enabling Technologies, Challenges and Open Research",2020-01-01,https://doi.org/10.1109/access.2020.2998358
https://openalex.org/W2988205563,An open challenge to advance probabilistic forecasting for dengue epidemics,2019-11-11,https://doi.org/10.1073/pnas.1909865116
https://openalex.org/W3015368063,The dawn of an open exploration era: Emergent principles and practices of open science and innovation of university research teams in a digital world,2020-07-01,https://doi.org/10.1016/j.techfore.2020.120037
https://openalex.org/W2916848715,Benefits of the free and open Landsat data policy,2019-04-01,https://doi.org/10.1016/j.rse.2019.02.016
https://openalex.org/W3107626709,Integration of the Drug–Gene Interaction Database (DGIdb 4.0) with open crowdsource efforts,2020-11-25,https://doi.org/10.1093/nar/gkaa1084
https://openalex.org/W2955437746,<i>landscapemetrics</i>: an open‐source <i>R</i> tool to calculate landscape metrics,2019-08-05,https://doi.org/10.1111/ecog.04617
https://openalex.org/W3006289070,Open Science principles for accelerating trait-based science across the Tree of Life,2020-02-17,https://doi.org/10.1038/s41559-020-1109-6
https://openalex.org/W2892614179,The ApolloScape Open Dataset for Autonomous Driving and Its Application,2020-10-01,https://doi.org/10.1109/tpami.2019.2926463
https://openalex.org/W2966318151,"Synchromodal logistics: An overview of critical success factors, enabling technologies, and open research issues",2019-09-01,https://doi.org/10.1016/j.tre.2019.07.009
https://openalex.org/W2943216811,"Open science challenges, benefits and tips in early career and beyond",2019-05-01,https://doi.org/10.1371/journal.pbio.3000246
https://openalex.org/W3087059428,COVID-19 open source data sets: a comprehensive survey,2020-09-21,https://doi.org/10.1007/s10489-020-01862-6
https://openalex.org/W2929354011,An open resource for accurately benchmarking small variant and reference calls,2019-04-01,https://doi.org/10.1038/s41587-019-0074-6
https://openalex.org/W3004116256,A Survey of NOMA: Current Status and Open Research Challenges,2020-01-01,https://doi.org/10.1109/ojcoms.2020.2969899
https://openalex.org/W2966649515,Human-robot coexistence and interaction in open industrial cells,2020-02-01,https://doi.org/10.1016/j.rcim.2019.101846
https://openalex.org/W3015453090,S2ORC: The Semantic Scholar Open Research Corpus,2020-01-01,https://doi.org/10.18653/v1/2020.acl-main.447
https://openalex.org/W3083787461,"Materials Cloud, a platform for open computational science",2020-09-08,https://doi.org/10.1038/s41597-020-00637-5
https://openalex.org/W3121632378,Open data from the first and second observing runs of Advanced LIGO and Advanced Virgo,2021-01-01,https://doi.org/10.1016/j.softx.2021.100658
https://openalex.org/W2994890174,"Open Science, Open Data, and Open Scholarship: European Policies to Make Science Fit for the Twenty-First Century",2019-12-10,https://doi.org/10.3389/fdata.2019.00043
https://openalex.org/W4281658583,The LOTUS initiative for open knowledge management in natural products research,2022-05-26,https://doi.org/10.7554/elife.70780
https://openalex.org/W3005640358,The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package,2020-02-10,https://doi.org/10.3847/1538-4357/ab4f7a
https://openalex.org/W2945073425,GGIR: A Research Community–Driven Open Source R Package for Generating Physical Activity and Sleep Outcomes From Multi-Day Raw Accelerometer Data,2019-09-01,https://doi.org/10.1123/jmpb.2018-0063
https://openalex.org/W2978740330,The International Genome Sample Resource (IGSR) collection of open human genomic variation resources,2019-10-04,https://doi.org/10.1093/nar/gkz836
https://openalex.org/W3129696436,Validation of the Crystallography Open Database using the Crystallographic Information Framework,2021-02-14,https://doi.org/10.1107/s1600576720016532
https://openalex.org/W3128349626,An open source machine learning framework for efficient and transparent systematic reviews,2021-02-01,https://doi.org/10.1038/s42256-020-00287-7
https://openalex.org/W2972411915,Open-Unmix - A Reference Implementation for Music Source Separation,2019-09-08,https://doi.org/10.21105/joss.01667
https://openalex.org/W3034007939,Network and Systems Medicine: Position Paper of the European Collaboration on Science and Technology Action on Open Multiscale Systems Medicine,2020-07-01,https://doi.org/10.1089/nsm.2020.0004
https://openalex.org/W2947147416,"Catalysis-Hub.org, an open electronic structure database for surface reactions",2019-05-28,https://doi.org/10.1038/s41597-019-0081-y
https://openalex.org/W2952971376,"Comparison of the accuracy of human readers versus machine-learning algorithms for pigmented skin lesion classification: an open, web-based, international, diagnostic study",2019-07-01,https://doi.org/10.1016/s1470-2045(19)30333-x
https://openalex.org/W3014187963,Preliminary analysis of COVID-19 academic information patterns: a call for open science in the times of closed borders,2020-06-25,https://doi.org/10.1007/s11192-020-03587-2
https://openalex.org/W3026304753,Banff 2019 Meeting Report: Molecular diagnostics in solid organ transplantation–Consensus for the Banff Human Organ Transplant (B-HOT) gene panel and open source multicenter validation,2020-09-01,https://doi.org/10.1111/ajt.16059
https://openalex.org/W3013060274,A review of open source ventilators for COVID-19 and future pandemics,2020-04-30,https://doi.org/10.12688/f1000research.22942.2
https://openalex.org/W3129885361,How open is innovation? A retrospective and ideas forward,2021-05-01,https://doi.org/10.1016/j.respol.2021.104218
https://openalex.org/W2977846155,Reaping the benefits of Open Data in public health,2019-10-03,https://doi.org/10.14745/ccdr.v45i10a01
https://openalex.org/W3200906819,RhizoVision Explorer: Open-source software for root image analysis and measurement standardization,2021-04-11,https://doi.org/10.1101/2021.04.11.439359
https://openalex.org/W3145709050,"FRET-based dynamic structural biology: Challenges, perspectives and an appeal for open-science practices",2021-03-29,https://doi.org/10.7554/elife.60416
https://openalex.org/W3007035358,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research,2020-04-01,https://doi.org/10.1109/lra.2020.2976639
https://openalex.org/W3097500482,Assessment of transparency indicators across the biomedical literature: How open is open?,2021-03-01,https://doi.org/10.1371/journal.pbio.3001107
https://openalex.org/W3171995498,Open science saves lives: lessons from the COVID-19 pandemic,2021-06-05,https://doi.org/10.1186/s12874-021-01304-y
https://openalex.org/W2946332877,Toward an Open-Source Digital Flow,2019-06-02,https://doi.org/10.1145/3316781.3326334
https://openalex.org/W3008924942,"Network Slicing: Recent Advances, Taxonomy, Requirements, and Open Research Challenges",2020-01-01,https://doi.org/10.1109/access.2020.2975072
https://openalex.org/W3048647494,Light opens a new window for N-heterocyclic carbene catalysis,2020-01-01,https://doi.org/10.1039/d0sc03595e
https://openalex.org/W3106215946,"OpenCitations, an infrastructure organization for open scholarship",2020-02-01,https://doi.org/10.1162/qss_a_00023
https://openalex.org/W2944640450,Trade Openness and Carbon Emissions: Evidence from Belt and Road Countries,2019-05-10,https://doi.org/10.3390/su11092682
https://openalex.org/W4295290221,Open and reproducible neuroimaging: From study inception to publication,2022-11-01,https://doi.org/10.1016/j.neuroimage.2022.119623
https://openalex.org/W3106494806,2-OGC: Open Gravitational-wave Catalog of Binary Mergers from Analysis of Public Advanced LIGO and Virgo Data,2020-03-10,https://doi.org/10.3847/1538-4357/ab733f
https://openalex.org/W3001189243,Resolving data sparsity and cold start problem in collaborative filtering recommender system using Linked Open Data,2020-07-01,https://doi.org/10.1016/j.eswa.2020.113248
https://openalex.org/W2904815223,MAgPIE 4 – a modular open-source framework for modeling global land systems,2019-04-03,https://doi.org/10.5194/gmd-12-1299-2019
https://openalex.org/W3042750741,The digital biomarker discovery pipeline: An open-source software platform for the development of digital biomarkers using mHealth and wearables data,2020-07-14,https://doi.org/10.1017/cts.2020.511
https://openalex.org/W3004018274,LiCSBAS: An Open-Source InSAR Time Series Analysis Package Integrated with the LiCSAR Automated Sentinel-1 InSAR Processor,2020-01-28,https://doi.org/10.3390/rs12030424
https://openalex.org/W3029733514,Open peer review: promoting transparency in open science,2020-05-26,https://doi.org/10.1007/s11192-020-03488-4
https://openalex.org/W2936666060,An open source approach to the design and implementation of Digital Twins for Smart Manufacturing,2019-04-13,https://doi.org/10.1080/0951192x.2019.1599436
https://openalex.org/W3090048627,Design and clinical implementation of an open-source bionic leg,2020-10-05,https://doi.org/10.1038/s41551-020-00619-3
https://openalex.org/W2964842853,"Navigation Systems for the Blind and Visually Impaired: Past Work, Challenges, and Open Problems",2019-08-02,https://doi.org/10.3390/s19153404
https://openalex.org/W2961693277,"Digital platform openness: Drivers, dimensions and outcomes",2021-01-01,https://doi.org/10.1016/j.jbusres.2019.07.001
