id,title,publication_date,doi
https://openalex.org/W4390569890,Open AI and its Impact on Fraud Detection in Financial Industry,2024-09-20,https://doi.org/10.60087/jklst.vol2.n3.p281
https://openalex.org/W4393237438,Open strategizing for developing smart city food system: Stakeholder inclusion in practice,2024-06-01,https://doi.org/10.1016/j.techsoc.2024.102516
https://openalex.org/W4393123358,Exploring open source and proprietary LoRa mesh technologies,2024-05-01,https://doi.org/10.11591/ijeecs.v34.i2.pp960-969
https://openalex.org/W4395011157,Redefining a global Cosmopolitanism: An attempt towards openness as a central concept in postcolonial conflict resolution,2024-04-22,https://doi.org/10.1007/s42597-024-00119-0
https://openalex.org/W4394941890,Perceptions and innovations of academics in an open distance e-learning institution,2024-04-19,https://doi.org/10.30935/ojcmt/14485
https://openalex.org/W4394920178,State of open science in cancer research,2024-04-18,https://doi.org/10.1007/s12094-024-03468-7
https://openalex.org/W4390002420,Beyond Accuracy: An Empirical Study on Unit Testing in Open-source Deep Learning Projects,2024-04-18,https://doi.org/10.1145/3638245
https://openalex.org/W4394884547,The Egyptian national HPC grid (EN-HPCG): open-source Slurm implementation from cluster to grid approach,2024-04-17,https://doi.org/10.1007/s11227-024-06041-9
https://openalex.org/W4394857398,An open-source 3D FE quench simulation tool for no-insulation HTS pancake coils,2024-04-16,https://doi.org/10.1088/1361-6668/ad3f83
https://openalex.org/W4395044656,PRINCIPLES OF OPEN SCIENCE IN THE ACTIVITIES OF A TECHNICAL UNIVERSITY,2024-04-12,https://doi.org/10.30525/2500-946x/2024-1-5
https://openalex.org/W4394762995,Search Engine for Open Geospatial Consortium Web Services Improving Discoverability through Natural Language Processing-Based Processing and Ranking,2024-04-12,https://doi.org/10.3390/ijgi13040128
https://openalex.org/W4394722896,Blueprint for destigmatizing depression and increasing openness to treatment among adolescents using brief social contact-based videos: a qualitative study,2024-04-11,https://doi.org/10.3389/frcha.2024.1386284
https://openalex.org/W4393435029,Location-Based Management of Paleontological Collections using Open Source GIS Software,2024-04-02,https://doi.org/10.1007/s12371-024-00941-1
https://openalex.org/W4393386813,A Guideline for Open-Source Tools to Make Medical Imaging Data Ready for Artificial Intelligence Applications: A Society of Imaging Informatics in Medicine (SIIM) Survey,2024-04-01,https://doi.org/10.1007/s10278-024-01083-0
https://openalex.org/W4393235073,Fostering Transversal Skills through Open Schooling with the CARE-KNOW-DO Framework for Sustainable Education,2024-03-27,https://doi.org/10.3390/su16072794
https://openalex.org/W4393233092,Benchtop mesoSPIM: a next-generation open-source light-sheet microscope for cleared samples,2024-03-27,https://doi.org/10.1038/s41467-024-46770-2
https://openalex.org/W4393119087,Can AnatomicalTerms.info with its synonyms and succinct open definitions be a solution to address variations in usage of anatomical terminology?,2024-03-23,https://doi.org/10.1007/s12565-024-00761-x
https://openalex.org/W4393142431,An Open-Source Face-Aware Capture System,2024-03-22,https://doi.org/10.3390/electronics13071178
https://openalex.org/W4393163731,Exploration of Open Source Controls Design for Visually Impaired Individuals Based on the Concept of Consensusization,2024-03-22,https://doi.org/10.3233/faia240014
https://openalex.org/W4392994461,A Novel Control Strategy for Soft Open Point to Address Terminal Voltage Violations and Load Rate Imbalance in Low-Voltage Power Distribution Station Areas,2024-03-20,https://doi.org/10.3390/s24061976
https://openalex.org/W4392949635,Reproducibility of arterial spin labeling cerebral blood flow image processing: A report of the <scp>ISMRM</scp> open science initiative for perfusion imaging (OSIPI)_and the <scp>ASL MRI</scp> challenge,2024-03-19,https://doi.org/10.1002/mrm.30081
https://openalex.org/W4392968570,Open Geodemographics and Crime: A Case Study Of Toronto,2024-03-19,https://doi.org/10.32920/25417597.v1
https://openalex.org/W4385932709,It's Alive! Using Linked Open Data to promote discovery within artist-run centre collections,2024-03-19,https://doi.org/10.32920/23979066
https://openalex.org/W4392908395,Exploring Open Data Affordances for Entrepreneurial Opportunity Recognition,2024-03-18,https://doi.org/10.26686/wgtn.25427689
https://openalex.org/W4390922157,Open data dissemination at Eurostat: State of the art,2024-03-15,https://doi.org/10.3233/sji-230115
https://openalex.org/W4392885982,Leveraging open science machine learning challenges for data constrained planetary mission instruments,2024-03-15,https://doi.org/10.1093/rasti/rzae009
https://openalex.org/W4388421852,How Are Multilingual Systems Constructed: Characterizing Language Use and Selection in Open-Source Multilingual Software,2024-03-14,https://doi.org/10.1145/3631967
https://openalex.org/W4392626407,Open value creation for the common good: a comprehensive exploration of social innovation in the context of social enterprises,2024-03-12,https://doi.org/10.1108/sej-08-2023-0103
https://openalex.org/W4392646351,Spot Report: An Open-Source and Real-Time Secondary Task for Human-Robot Interaction User Experiments,2024-03-11,https://doi.org/10.1145/3610978.3640718
https://openalex.org/W4392649073,Public funding accountability: a linked open data-based methodology for analysing the scientific productivity and influence of funded projects,2024-03-11,https://doi.org/10.1007/s11192-024-04975-8
https://openalex.org/W4392542910,An open science automatic workflow for multi-model species distribution estimation,2024-03-07,https://doi.org/10.1007/s41060-024-00517-w
https://openalex.org/W4392570651,Integrating FMI and ML/AI models on the open‐source digital twin framework OpenTwins,2024-03-05,https://doi.org/10.1002/spe.3322
https://openalex.org/W4392384481,Ginkgo-P: General Illustrations of Knowledge Graphs for Openness as a Platform,2024-03-04,https://doi.org/10.1145/3616855.3635701
https://openalex.org/W4392375699,State‐of‐the‐practice in quality assurance in Java‐based open source software development,2024-03-04,https://doi.org/10.1002/spe.3321
https://openalex.org/W3137480023,Automated Mapping of Vulnerability Advisories onto their Fix Commits in Open Source Repositories,2024-03-04,https://doi.org/10.1145/3649590
https://openalex.org/W4391508920,The openOCHEM consensus model is the best-performing open-source predictive model in the First EUOS/SLAS Joint Compound Solubility Challenge,2024-03-01,https://doi.org/10.1016/j.slasd.2024.01.005
https://openalex.org/W4392355301,Open-Science Integration of a Combined Analysis of KM3NeT and CTA into the EOSC Infrastructure,2024-03-01,https://doi.org/10.22323/1.441.0227
https://openalex.org/W4392351992,Open Research Issues and Tools for Visualization and Big Data Analytics,2024-03-01,https://doi.org/10.12785/ijcds/150178
https://openalex.org/W4389163316,Towards a Docker-based architecture for open multi-agent systems,2024-03-01,https://doi.org/10.11591/ijai.v13.i1.pp45-56
https://openalex.org/W4389956046,Comparing open-source DEM frameworks for simulations of common bulk processes,2024-03-01,https://doi.org/10.1016/j.cpc.2023.109066
https://openalex.org/W4389167563,FPGAs memory synchronization and performance evaluation using the open computing language framework,2024-03-01,https://doi.org/10.11591/ijres.v13.i1.pp33-40
https://openalex.org/W4390628679,High-resolution spectroscopy of the young open cluster M 39 (NGC 7092),2024-03-01,https://doi.org/10.1051/0004-6361/202348483
https://openalex.org/W4392623228,South African Rural University Students’ Experiences of Open Distance E-Learning Support,2024-02-28,https://doi.org/10.26803/ijlter.23.2.3
https://openalex.org/W4392167507,Is this systematic enough? Systematicity and openness in the implementation phase of DBR,2024-02-26,https://doi.org/10.15460/eder.8.1.2161
https://openalex.org/W4391962651,Free and open-source QSAR-ready workflow for automated standardization of chemical structures in support of QSAR modeling,2024-02-20,https://doi.org/10.1186/s13321-024-00814-3
https://openalex.org/W4391970340,Open Banking and data reassurance: the case of tenant referencing in the UK,2024-02-20,https://doi.org/10.1080/1369118x.2024.2310481
https://openalex.org/W4391954188,Open-source microscope add-on for structured illumination microscopy,2024-02-20,https://doi.org/10.1038/s41467-024-45567-7
https://openalex.org/W4391970468,"From Space to Field: Combining Satellite, UAV and Agronomic Data in an Open-Source Methodology for the Validation of NDVI Maps in Precision Viticulture",2024-02-20,https://doi.org/10.3390/rs16050735
https://openalex.org/W4391932682,A low-cost and open-source approach for supraglacial debris thickness mapping using UAV-based infrared thermography,2024-02-19,https://doi.org/10.5194/tc-18-719-2024
https://openalex.org/W4391942233,Vertical Distribution Mapping for Methane Fugitive Emissions Using Laser Path-Integral Sensing in Non-Cooperative Open Paths,2024-02-18,https://doi.org/10.3390/s24041307
https://openalex.org/W4391880064,A guide for social science journal editors on easing into open science,2024-02-16,https://doi.org/10.1186/s41073-023-00141-5
https://openalex.org/W4391909880,Entanglements of race and migration in the (open) city: Analytical and normative tensions of the sociological imagination,2024-02-16,https://doi.org/10.1177/00380261231214977
https://openalex.org/W4391824378,"An open-source, 3D printed inkjet DNA synthesizer",2024-02-14,https://doi.org/10.1038/s41598-024-53944-x
https://openalex.org/W4391777722,Platelet rich fibrin and MTA in the treatment of teeth with open apices,2024-02-13,https://doi.org/10.1186/s12903-024-03923-5
https://openalex.org/W4391778820,The usefulness of computer skills for enhanced teaching and learning among lecturers in an open distance e-learning (ODEL) environment,2024-02-13,https://doi.org/10.1007/s10639-024-12519-z
https://openalex.org/W4391785547,"The case for open research in entomology: Reducing harm, refining reproducibility and advancing insect science",2024-02-13,https://doi.org/10.1111/afe.12617
https://openalex.org/W4391786507,A direct PCR approach with low-biomass insert opens new horizons for molecular sciences on cryptogam communities,2024-02-13,https://doi.org/10.1128/aem.00024-24
https://openalex.org/W4391684750,Personalized 3D-printed cranial implants for complex cranioplasty using open-source software,2024-02-09,https://doi.org/10.25259/sni_906_2023
https://openalex.org/W4391686130,Additional experiments required: A scoping review of recent evidence on key aspects of Open Peer Review,2024-02-08,https://doi.org/10.1093/reseval/rvae004
https://openalex.org/W4391609325,"Reinforcement Learning for Generative AI: State of the Art, Opportunities and Open Research Challenges",2024-02-06,https://doi.org/10.1613/jair.1.15278
https://openalex.org/W4391579649,Predicting open source contributor turnover from value-related discussions: An analysis of GitHub issues,2024-02-06,https://doi.org/10.1145/3597503.3623340
https://openalex.org/W4391540976,"A Survey on Open Radio Access Networks: Challenges, Research Directions, and Open Source Approaches",2024-02-05,https://doi.org/10.3390/s24031038
https://openalex.org/W4391535871,Predicting outcomes following lower extremity open revascularization using machine learning,2024-02-05,https://doi.org/10.1038/s41598-024-52944-1
https://openalex.org/W4391533081,‘Humour can open the door to conversations’: Exploring the Role of Comedy in Breaking Down Barriers to Employment for Young Disabled People,2024-02-05,https://doi.org/10.1007/s43151-024-00116-3
https://openalex.org/W4392005355,Exploring open science practices in behavioural public policy research,2024-02-01,https://doi.org/10.1098/rsos.231486
https://openalex.org/W4390125108,Open self-paced introductory course in nuclear engineering – How to guarantee student learning,2024-02-01,https://doi.org/10.1016/j.nucengdes.2023.112814
