id,title,publication_date,doi
https://openalex.org/W4386723394,UKRN ORCC Primer on Working in Open Research,2023-09-12,https://doi.org/10.31219/osf.io/346hr
https://openalex.org/W4385793987,Using open and collaborative data to improve the Brazilian topographic mapping in protected areas,2023-08-12,https://doi.org/10.5194/ica-abs-6-240-2023
https://openalex.org/W4384695555,"Special Issue: Open, Digital, Collaborative Project Preservation in the Humanities",2023-07-18,https://doi.org/10.21428/f1f23564.aa85bf79
https://openalex.org/W4383376256,Accelerating addiction research via Open Science and Team Science,2023-07-05,https://doi.org/10.31234/osf.io/pbkrx
https://openalex.org/W4383216858,How Openness Could Strengthen Academia’s Partnerships with the Intelligence Community,2023-07-03,https://doi.org/10.58875/fqun1916
https://openalex.org/W4383498576,Open Source Software in the Public Sector: 25 Years and Still in Its Infancy,2023-07-01,https://doi.org/10.1109/ms.2023.3266105
https://openalex.org/W4385584855,Open sharing of government data and enterprise decision making,2023-06-30,https://doi.org/10.59494/dsi.2023.2.2
https://openalex.org/W4382361170,Open-Source Software –Benefits and Drawbacks,2023-06-28,https://doi.org/10.48175/ijarsct-11689
https://openalex.org/W4381738705,The State of Open Science Practices in Psychometric Studies of Suicide: A Systematic Review,2023-06-22,https://doi.org/10.31219/osf.io/fwsr3
https://openalex.org/W4380878546,"What knowledge does ChatGPT have regarding open science, and can it provide good advice about it?",2023-06-15,https://doi.org/10.31235/osf.io/awhuf
https://openalex.org/W4363678937,Wide open? Creative industries and open strategizing challenges,2023-06-01,https://doi.org/10.2478/ijme-2023-0002
https://openalex.org/W4381283089,Open Institute of the African BioGenome Project: Bridging the gap in African biodiversity genomics and bioinformatics,2023-05-29,https://doi.org/10.31219/osf.io/adwh4
https://openalex.org/W4378611187,Eleven Strategies for Making Reproducible Research and Open Science Training the Norm at Research Institutions,2023-05-28,https://doi.org/10.31219/osf.io/kcvra
https://openalex.org/W4377205940,Biomedical supervisors’ role modeling of open science practices,2023-05-22,https://doi.org/10.7554/elife.83484
https://openalex.org/W4376141549,Exploring Open Science Practices in Behavioural Public Policy Research,2023-05-10,https://doi.org/10.31234/osf.io/msv8y
https://openalex.org/W4372403418,UKRN Open Research Training Resources and Priorities Working Paper,2023-05-05,https://doi.org/10.31219/osf.io/s2f6k
https://openalex.org/W4367844611,Regional Open Science Dialogue in Southern Africa,2023-05-02,https://doi.org/10.21428/3b2160cd.ff9b2618
https://openalex.org/W4362520944,Open science in health psychology and behavioral medicine: A statement from the Behavioral Medicine Research Council.,2023-05-01,https://doi.org/10.1037/hea0001236
https://openalex.org/W4367369037,Towards Reproducible and Respectful Autism Research: Combining Open and Participatory Autism Research Practices,2023-04-28,https://doi.org/10.31234/osf.io/zdns5
https://openalex.org/W4365150540,Open Data and transparency in artificial intelligence and machine learning: A new era of research,2023-04-12,https://doi.org/10.12688/f1000research.133019.1
https://openalex.org/W4362579893,Accelerating Social Science Knowledge Production with the Coordinated Open-Source Model,2023-04-02,https://doi.org/10.31219/osf.io/3brjv
https://openalex.org/W4362007669,Response to responsible research assessment I and II from the perspective of the DGPs working group on open science in clinical psychology,2023-03-30,https://doi.org/10.31219/osf.io/rnwsb
https://openalex.org/W4322631571,(Why) Are Open Research Practices the Future for the Study of Language Learning?,2023-02-27,https://doi.org/10.31219/osf.io/hpgk6
https://openalex.org/W4321248243,A Review on the Use of Open Source Technologies and Soft-Ware Applied to Precision Agriculture Practices,2023-02-16,https://doi.org/10.20944/preprints202302.0281.v1
https://openalex.org/W4319041362,"Inclusive, open, and reproducible developmental science",2023-02-01,https://doi.org/10.31234/osf.io/bz72u
