id,title,publication_date,doi
https://openalex.org/W4385793987,Using open and collaborative data to improve the Brazilian topographic mapping in protected areas,2023-08-12,https://doi.org/10.5194/ica-abs-6-240-2023
https://openalex.org/W4384695555,"Special Issue: Open, Digital, Collaborative Project Preservation in the Humanities",2023-07-18,https://doi.org/10.21428/f1f23564.aa85bf79
https://openalex.org/W4383216858,How Openness Could Strengthen Academia’s Partnerships with the Intelligence Community,2023-07-03,https://doi.org/10.58875/fqun1916
https://openalex.org/W4383498576,Open Source Software in the Public Sector: 25 Years and Still in Its Infancy,2023-07-01,https://doi.org/10.1109/ms.2023.3266105
https://openalex.org/W4385584855,Open sharing of government data and enterprise decision making,2023-06-30,https://doi.org/10.59494/dsi.2023.2.2
https://openalex.org/W4382361170,Open-Source Software –Benefits and Drawbacks,2023-06-28,https://doi.org/10.48175/ijarsct-11689
https://openalex.org/W4380878546,"What knowledge does ChatGPT have regarding open science, and can it provide good advice about it?",2023-06-15,https://doi.org/10.31235/osf.io/awhuf
https://openalex.org/W4363678937,Wide open? Creative industries and open strategizing challenges,2023-06-01,https://doi.org/10.2478/ijme-2023-0002
https://openalex.org/W4381283089,Open Institute of the African BioGenome Project: Bridging the gap in African biodiversity genomics and bioinformatics,2023-05-29,https://doi.org/10.31219/osf.io/adwh4
https://openalex.org/W4367844611,Regional Open Science Dialogue in Southern Africa,2023-05-02,https://doi.org/10.21428/3b2160cd.ff9b2618
https://openalex.org/W4362520944,Open science in health psychology and behavioral medicine: A statement from the Behavioral Medicine Research Council.,2023-05-01,https://doi.org/10.1037/hea0001236
https://openalex.org/W4367369037,Towards Reproducible and Respectful Autism Research: Combining Open and Participatory Autism Research Practices,2023-04-28,https://doi.org/10.31234/osf.io/zdns5
https://openalex.org/W4365150540,Open Data and transparency in artificial intelligence and machine learning: A new era of research,2023-04-12,https://doi.org/10.12688/f1000research.133019.1
https://openalex.org/W4362579893,Accelerating Social Science Knowledge Production with the Coordinated Open-Source Model,2023-04-02,https://doi.org/10.31219/osf.io/3brjv
https://openalex.org/W4362007669,Response to responsible research assessment I and II from the perspective of the DGPs working group on open science in clinical psychology,2023-03-30,https://doi.org/10.31219/osf.io/rnwsb
https://openalex.org/W4321248243,A Review on the Use of Open Source Technologies and Soft-Ware Applied to Precision Agriculture Practices,2023-02-16,https://doi.org/10.20944/preprints202302.0281.v1
https://openalex.org/W4312070094,‘Conditional Acceptance’ (additional experiments required): A scoping review of recent evidence on key aspects of Open Peer Review,2022-12-21,https://doi.org/10.31222/osf.io/r6t8p
https://openalex.org/W4297856919,Supporting Open Science with frictionless publication workflows: The Tree of Life project at Wellcome Open Research,2022-12-16,https://doi.org/10.3233/isu-220167
