id,title,publication_date,doi
https://openalex.org/W4386723394,UKRN ORCC Primer on Working in Open Research,2023-09-12,https://doi.org/10.31219/osf.io/346hr
https://openalex.org/W4386239858,Reinventing Scientific Journals through Open Science Practices and Self-Publication,2023-08-28,https://doi.org/10.31219/osf.io/qhfyg
https://openalex.org/W4383376256,Accelerating addiction research via Open Science and Team Science,2023-07-05,https://doi.org/10.31234/osf.io/pbkrx
https://openalex.org/W4383216858,How Openness Could Strengthen Academia’s Partnerships with the Intelligence Community,2023-07-03,https://doi.org/10.58875/fqun1916
https://openalex.org/W4381738705,The State of Open Science Practices in Psychometric Studies of Suicide: A Systematic Review,2023-06-22,https://doi.org/10.31219/osf.io/fwsr3
https://openalex.org/W4363678937,Wide open? Creative industries and open strategizing challenges,2023-06-01,https://doi.org/10.2478/ijme-2023-0002
https://openalex.org/W4378611187,Eleven Strategies for Making Reproducible Research and Open Science Training the Norm at Research Institutions,2023-05-28,https://doi.org/10.31219/osf.io/kcvra
https://openalex.org/W4377205940,Biomedical supervisors’ role modeling of open science practices,2023-05-22,https://doi.org/10.7554/elife.83484
https://openalex.org/W4376618867,ACTIVE METHODOLOGIES AS INCENTIVE TO INNOVATIVE AND OPEN BEHAVIOR,2023-05-15,https://doi.org/10.22533/at.ed.3173162311056
https://openalex.org/W4376141549,Exploring Open Science Practices in Behavioural Public Policy Research,2023-05-10,https://doi.org/10.31234/osf.io/msv8y
https://openalex.org/W4372403418,UKRN Open Research Training Resources and Priorities Working Paper,2023-05-05,https://doi.org/10.31219/osf.io/s2f6k
https://openalex.org/W4365455420,Promoting Open-Science and Accessible Student Training: The Open-Science fabrication laboratory model,2023-04-13,https://doi.org/10.31219/osf.io/xm5jn
https://openalex.org/W4362579893,Accelerating Social Science Knowledge Production with the Coordinated Open-Source Model,2023-04-02,https://doi.org/10.31219/osf.io/3brjv
https://openalex.org/W4365456970,OVERVIEW OF THE METHODOLOGY OF UNIVERSITIES` INTERNATIONAL RANKINGS FOR MEETING THE CHALLENGES OF OPEN SCIENCE,2023-03-31,https://doi.org/10.36690/2733-2039-2023-1-13
