"","Scopus_ID","Title","Author","Date","DOI"
"1","SCOPUS_ID:85139156421","An Exploration of Openness in Hardware and Software Through Implementation of a RISC-V Based Desktop Computer","Butler S.","2022-09-07","10.1145/3555051.3555065"
"2","SCOPUS_ID:85139123952","Why People Trust Wikipedia Articles: Credibility Assessment Strategies Used by Readers","Elmimouni H.","2022-09-07","10.1145/3555051.3555052"
"3","SCOPUS_ID:85139094280","Proceedings of the 18th International Symposium on Open Collaboration, OpenSym 2022",NA,"2022-09-07",NA
"4","SCOPUS_ID:85137481633","Campus Sexual Violence Prevention and Response: Lessons from a Pandemic to Inform Future Efforts","Potter S.J.","2022-09-01","10.1177/08862605221106191"
"5","SCOPUS_ID:85135415579","Understanding Open Collaboration of Wikipedia Good Articles with Factor Analysis","Chou H.","2022-09-01","10.1142/S0219649222500307"
"6","SCOPUS_ID:85128282261","Challenges and pathways to green supply chain management: Evidence from manufacturing sectors in an emerging economy","Uddin M.","2022-09-01","10.1111/issj.12333"
"7","SCOPUS_ID:85137156754","Phenomena: Co-Designing Planetary Care Through Joy","Guerra R.I.D.","2022-08-19","10.1145/3537797.3537845"
"8","SCOPUS_ID:85138689014","Open government and citizen empowerment in authoritarian states","Kurmanov B.","2022-08-01","10.1177/18793665221104118"
"9","SCOPUS_ID:85101345600","The Comparative Legislators Database","Göbel S.","2022-07-23","10.1017/S0007123420000897"
"10","SCOPUS_ID:85132333497","The Four Opens: Open Source Beyond the Code","Vancsa I.","2022-06-01","10.1109/MC.2022.3164124"
"11","SCOPUS_ID:85132300521","Crowdsourcing Team Formation With Worker-Centered Modeling","Vinella F.L.","2022-05-27","10.3389/frai.2022.818562"
"12","SCOPUS_ID:85123850175","Collaboration in software ecosystems: A study of work groups in open environment","Chen Z.","2022-05-01","10.1016/j.infsof.2022.106849"
"13","SCOPUS_ID:85104535634","Can Supportive Coaching Behaviors Facilitate Boundary Spanning and Raise Job Satisfaction? An Indirect-Effects Model","Marrone J.A.","2022-05-01","10.1177/01492063211003951"
"14","SCOPUS_ID:85130210711","Research on Distributed Resource Sharing Incentive Mechanism Under Cloud Manufacturing Mode","Chen H.N.","2022-04-01","10.12068/j.issn.1005-3026.2022.04.004"
"15","SCOPUS_ID:85127695617","Ilaps - python software for data reduction and imaging with LA-ICP-MS","Faltusová V.","2022-03-10","10.1039/d1ja00383f"
"16","SCOPUS_ID:85138599497","California to Monitor Microplastic Pollution in Drinking Water and Marine Environments - Addressing the environmental and health impacts of microplastics requires open collaboration among diverse sectors","Coffin S.","2022-01-01",NA
"17","SCOPUS_ID:85138273209","Decentralized platform economy: emerging blockchain-based decentralized platform business models","Lage O.","2022-01-01","10.1007/s12525-022-00586-4"
"18","SCOPUS_ID:85137607950","Space Scientific Instrument Taxonomy (SSIT) Version 2.0","Brown N.F.","2022-01-01","10.1109/AERO53065.2022.9843436"
