author_year,TL_DR,Tools,Organization,Barriers
Alessandroni-2022,The paper outlines ten strategies for open science adoption. [1],"The contexts do not specify particular tools for open collaboration, such as Open Science Framework (OSF) or GitHub.",Researchers are encouraged to establish collaborative networks with others who advocate for open research and work on related topics. [1],There is a significant obstacle due to the lack of resources providing clear direction on how to integrate open science practices into daily workflows. [1]
,Strategies cater to both beginners and advanced researchers. [1],They mention the use of GitHub for keeping version history of research-related files and sharing data in open formats like CSV or JSON. [1],"It is suggested to develop standards and guidelines for data wrangling, analysis, visualization, code commenting, proofreading, and documentation. [1]",Researchers often experience a sense of paralysis associated with not knowing where to begin when transitioning to open science. [2]
,"Open science enhances research robustness, sustainability, and replicability. [2]","However, no specific tools are listed beyond these general practices.","Researchers can voice their opinions by writing testimonials, reports, glossaries, or declarations of support for open science. [1]","Open science resources are frequently more theoretical than practical, making it challenging for researchers to apply them in practice. [2]"
,Researchers can modify workflows to support open science practices. [2],,"There is an emphasis on rethinking and promoting changes in the assessment of scholarly production, advocating for the recognition of various research outputs such as open datasets and open peer reviews. [1]","Navigating the plethora of available open science resources and tools can be time-consuming and energy-intensive, especially when institutional rewards for practicing open science are not concrete. [2]"
,Early career researchers are key to implementing open science. [2],,"The formation of informal meetings, working groups, discussion panels, and conferences on open science policies is recommended to facilitate collaboration. [2]","Imposing policies for open science without ensuring they are perceived as reasonable, doable, and necessary can hinder sustainable change. [3]"
,Open science faces challenges in practical implementation and resource navigation. [2],,Less conventional formats like hackathons and unconferences can be utilized to foster collaboration and discussion among researchers. [2],
,,,"Examples of tools that can be used for open collaboration include communication platforms like Slack and coding repositories like GitHub, although these specific examples are not mentioned in the contexts provided.",
Bush- 2022,Neuroimaging science faces reproducibility challenges. [1],The paper mentions the use of Git and GitHub as tools that facilitate collaboration among teams of software developers. [1],The research paper emphasizes the importance of open collaboration in neuroimaging research through the adoption of best practices. [1],The research paper does not explicitly mention specific barriers to doing more open science.
,"Best practices include pre-registration, FAIR data, and open science. [1] [2]","It highlights that these tools promote the sharing of source code externally, which is beneficial for collaboration in the academic setting. [1]","Suggested practices for open collaboration include the use of open-source analysis software and public repositories for analysis source code, which enhances transparency and accessibility. [2]",It focuses on the transition to open and reproducible science practices rather than detailing obstacles encountered.
,A roadmap for transitioning to these practices is provided. [1],The Open Science Framework (OSF) is also referenced as a tool for preregistration in the context of open science practices. [2],"The transition to open science practices involves integrating legacy code with version control systems like Git, which facilitates collaborative coding efforts. [2]","Therefore, no information regarding barriers is available in the provided contexts."
,BIDS standard enhances data sharing and interoperability. [3],,"The paper mentions the need for effective communication tools, although specific examples like Slack are not provided in the contexts.",
,OpenNeuro facilitates public data sharing and compliance with FAIR principles. [4],,"The authors highlight the importance of preprint manuscripts as a means of sharing research findings openly, contributing to collaborative efforts in the scientific community. [2]",
,,,"The implementation of FAIR data principles is also suggested, which encourages collaboration by ensuring that data is findable, accessible, interoperable, and reusable. [2]",
Dora-2024,Addiction research suffers from replicability and bias issues. [1],"The provided contexts do not mention specific tools for open collaboration such as Open Science Framework (OSF) or GitHub. Therefore, there is no information available regarding specific tools suggested for open collaboration in the research paper.","The research paper suggests several practices for open collaboration in addiction research, emphasizing the importance of communication and data sharing. [1]",The current scientific culture presents several barriers to large-scale collaborations in addiction research. [1]
,Open Science and Team Science can improve research credibility. [1],,It highlights the need for preregistration of studies to ensure transparency and agreement among team members. [2],"There is a lack of buy-in from various stakeholders, including researchers, journal editors, funding organizations, and hiring committees, which hinders the adoption of Open Science practices. [2]"
,Six steps for implementing Open Science are proposed. [1],,"The paper advocates for sharing data, code, and materials to facilitate collaboration and improve replicability. [1]","Cognitive biases within researchers can threaten the credibility of research, making it difficult to produce unbiased findings. [2]"
,Preregistration reduces biases and enhances replicability. [2],,It mentions the importance of creating a feedback loop where leadership regularly seeks formal and informal feedback from team members. [2],The slow uptake of tools that limit bias in the literature may be attributed to the field's blind spot regarding the replication crisis. [2]
,Sharing data and materials aids replication and peer review. [3],,The authors suggest that using platforms like Slack for communication and GitHub for coding can enhance collaboration among researchers. [3],
,,,"They emphasize that large-scale collaborations require effective leadership and communication skills, which are crucial for addressing concerns and fostering a safe environment for discussion. [2]",
Grange-2023,Survey conducted at 11 UKRN institutions to assess training resources. [1],"The research paper mentions several tools that facilitate open and collaborative science, including:","The contexts do not provide specific suggested practices for open collaboration, such as the use of tools like Slack for communication or GitHub for coding.","There are barriers to overcome in promoting open research training, particularly the lack of accessibility in training materials. [1]"
